Date,Part,Sales
01/01/2024,Part_3,0
01/02/2024,Part_3,-0.024336684
01/03/2024,Part_3,1.872705537
01/04/2024,Part_3,2.467398261
01/05/2024,Part_3,0.703462657
01/06/2024,Part_3,-1.930432978
01/07/2024,Part_3,2.65252186
01/08/2024,Part_3,-0.58411873
01/09/2024,Part_3,0.348138357
01/10/2024,Part_3,0.596490458
01/11/2024,Part_3,-0.391710493
01/12/2024,Part_3,0.995827044
01/13/2024,Part_3,-1.170033648
01/14/2024,Part_3,-1.244605755
01/15/2024,Part_3,-0.371936545
01/16/2024,Part_3,-0.849747359
01/17/2024,Part_3,0.420846292
01/18/2024,Part_3,-2.393362098
01/19/2024,Part_3,-0.087017081
01/20/2024,Part_3,-1.643961307
01/21/2024,Part_3,-2.013296968
01/22/2024,Part_3,3.081452849
01/23/2024,Part_3,0.293490708
01/24/2024,Part_3,-1.306601219
01/25/2024,Part_3,3.52924654
01/26/2024,Part_3,-2.998964736
01/27/2024,Part_3,2.414527083
01/28/2024,Part_3,0.843855499
01/29/2024,Part_3,2.92520611
01/30/2024,Part_3,1.230704317
01/31/2024,Part_3,0.02514711
02/01/2024,Part_3,1.562773548
02/02/2024,Part_3,0.028176494
02/03/2024,Part_3,0.112232325
02/04/2024,Part_3,2.709682185
02/05/2024,Part_3,1.41866401
02/06/2024,Part_3,1.799097274
02/07/2024,Part_3,0.489416063
02/08/2024,Part_3,-1.289706666
02/09/2024,Part_3,0.167697171
02/10/2024,Part_3,-0.871405777
02/11/2024,Part_3,-0.685867864
02/12/2024,Part_3,-0.763050119
02/13/2024,Part_3,3.05180254
02/14/2024,Part_3,-3.154552338
02/15/2024,Part_3,-0.667980574
02/16/2024,Part_3,-1.554279513
02/17/2024,Part_3,1.336160955
02/18/2024,Part_3,-2.996631249
02/19/2024,Part_3,0.924359701
02/20/2024,Part_3,-0.997129173
02/21/2024,Part_3,1.157213496
02/22/2024,Part_3,-0.815034531
02/23/2024,Part_3,-0.369827047
02/24/2024,Part_3,1.669776851
02/25/2024,Part_3,1.181669661
02/26/2024,Part_3,0.552588243
02/27/2024,Part_3,1.312752541
02/28/2024,Part_3,0.268449055
02/29/2024,Part_3,1.565705689
03/01/2024,Part_3,1.029839172
03/02/2024,Part_3,1.65246574
03/03/2024,Part_3,0.840531641
03/04/2024,Part_3,0.292106726
03/05/2024,Part_3,2.980506611
03/06/2024,Part_3,0.335195813
03/07/2024,Part_3,-0.503261848
03/08/2024,Part_3,2.610307498
03/09/2024,Part_3,-1.07008062
03/10/2024,Part_3,1.041916865
03/11/2024,Part_3,0.551989604
03/12/2024,Part_3,-0.914510543
03/13/2024,Part_3,0.533619908
03/14/2024,Part_3,-2.979469551
03/15/2024,Part_3,0.9430427
03/16/2024,Part_3,-1.826710186
03/17/2024,Part_3,-0.925545512
03/18/2024,Part_3,-0.402177277
03/19/2024,Part_3,-0.337945913
03/20/2024,Part_3,-0.109079992
03/21/2024,Part_3,-1.535718075
03/22/2024,Part_3,1.940820765
03/23/2024,Part_3,-0.352490943
03/24/2024,Part_3,-1.701906126
03/25/2024,Part_3,3.541822775
03/26/2024,Part_3,1.132792545
03/27/2024,Part_3,0.197293287
03/28/2024,Part_3,-0.281906541
